word,start,end
Act,3.71,3.79
"one,",3.99,4.19
monkey,4.651,4.931
in,4.951,5.011
the,5.051,5.111
middle.,5.151,5.391
So,6.592,6.731999999999999
there's,6.752,6.911999999999999
some,6.8919999999999995,7.052
places,7.071999999999999,7.342
where,7.401999999999999,7.502
animals,7.542,7.782
almost,7.901999999999999,8.081999999999999
never,8.161999999999999,8.411999999999999
go,8.452,8.681999999999999
places,9.572,9.862
that,9.862,9.931999999999999
are,9.992,10.042
designed,10.042,10.611999999999998
by,10.732,10.962
humans,11.001999999999999,11.582
for,11.692,11.882
humans,11.942,12.492
This,13.091999999999999,13.312
act,13.392,13.712
ends,14.142,14.372
up,14.431999999999999,14.532
in,14.572,14.602
a,14.622,14.652000000000001
place,14.672,14.872
like,14.872,15.012
that,15.012,15.322
but,16.122,16.392
it,16.442,16.492
starts,16.552,16.802
about,16.822,16.972
as,16.972,17.052
far,17.092,17.232
from,17.291999999999998,17.412
there,17.432,17.562
as,17.562,17.652
you,17.712,17.782
can,17.782,17.902
get,17.902,18.162
Dana,19.052,19.242
Chivvis,19.242,19.541999999999998
explains,19.562,20.072
Our,21.2339279296875,21.3239279296875
story,21.3239279296875,21.6139279296875
begins,21.6139279296875,21.9439279296875
deep,21.9439279296875,22.1939279296875
in,22.1939279296875,22.2739279296875
the,22.293927929687502,22.3239279296875
rainforests,22.3639279296875,23.0739279296875
of,23.0939279296875,23.1939279296875
Indonesia,23.2139279296875,23.7739279296875
on,23.9139279296875,24.1039279296875
an,24.1139279296875,24.2139279296875
island,24.2339279296875,24.4839279296875
called,24.4839279296875,24.6739279296875
Sulawesi,24.6739279296875,25.4239279296875
A,26.1939279296875,26.2639279296875
few,26.3039279296875,26.4839279296875
years,26.4639279296875,26.7139279296875
ago,26.7339279296875,27.0839279296875
the,27.2539279296875,27.3239279296875
photographer,27.3239279296875,27.8339279296875
David,27.8339279296875,28.0939279296875
Slater,28.0939279296875,28.4439279296875
traveled,28.4439279296875,28.8239279296875
there,28.8239279296875,28.9839279296875
from,28.9839279296875,29.1439279296875
his,29.1639279296875,29.2739279296875
home,29.293927929687502,29.4539279296875
in,29.4539279296875,29.5239279296875
England,29.543927929687502,29.9639279296875
to,30.1639279296875,30.2539279296875
photograph,30.2539279296875,30.6839279296875
a,30.6839279296875,30.723927929687502
troop,30.723927929687502,30.9239279296875
of,30.9239279296875,31.0239279296875
monkeys,31.0239279296875,31.4439279296875
I'd,31.8098279296875,31.9898279296875
gone,31.9898279296875,32.1298279296875
a,32.1298279296875,32.1598279296875
whole,32.1598279296875,32.3398279296875
day,32.3398279296875,32.6098279296875
just,32.6098279296875,32.799827929687495
following,32.799827929687495,33.1998279296875
them,33.1998279296875,33.439827929687496
Mm,33.6956279296875,33.8256279296875
into,33.8053279296875,33.9953279296875
the,33.9953279296875,34.0553279296875
thick,34.0953279296875,34.3153279296875
of,34.3353279296875,34.3953279296875
the,34.3953279296875,34.4553279296875
forest,34.4553279296875,35.0753279296875
through,35.5153279296875,35.6753279296875
the,35.6753279296875,35.7453279296875
tangles,35.7453279296875,36.3853279296875
and,36.4253279296875,36.545327929687495
the,36.545327929687495,36.6653279296875
vines,36.7053279296875,37.5353279296875
and,37.5353279296875,37.6453279296875
the,37.685327929687496,38.015327929687494
muddy,38.295327929687495,38.5253279296875
undergrowth,38.585327929687494,39.335327929687494
and,39.335327929687494,39.445327929687494
the,39.4653279296875,39.6353279296875
cobwebs,39.8153279296875,40.4653279296875
and,40.4653279296875,40.5653279296875
the,40.5653279296875,40.685327929687496
poisonous,41.185327929687496,41.8153279296875
snakes,41.795327929687495,42.405327929687495
and,42.405327929687495,42.585327929687494
Oh,42.375327929687494,42.625327929687494
man,42.6053279296875,42.9153279296875
you,43.0942279296875,43.2342279296875
name,43.2342279296875,43.4942279296875
it,43.534227929687496,43.6342279296875
I,43.654227929687494,43.754227929687495
had,43.754227929687495,43.8842279296875
to,43.8842279296875,44.044227929687494
I,44.144227929687496,44.254227929687495
had,44.254227929687495,44.3842279296875
to,44.3842279296875,44.4842279296875
go,44.4842279296875,44.7042279296875
through,44.7442279296875,44.9842279296875
it,45.0242279296875,45.154227929687494
Uh,45.9142279296875,46.154227929687494
and,46.154227929687494,46.3042279296875
it,46.364227929687495,46.4242279296875
was,46.404227929687494,46.504227929687495
just,46.504227929687495,46.684227929687495
so,46.684227929687495,46.83422792968749
amazing,46.83422792968749,47.3142279296875
just,47.3542279296875,47.5642279296875
to,47.5642279296875,47.644227929687496
be,47.644227929687496,47.974227929687494
to,48.0542279296875,48.154227929687494
be,48.1742279296875,48.544227929687494
like,48.644227929687496,48.9442279296875
a,48.9442279296875,48.974227929687494
monkey,48.9942279296875,49.33422792968749
I,49.3542279296875,49.504227929687495
I,49.5242279296875,49.684227929687495
I,49.7042279296875,49.864227929687495
was,49.8842279296875,50.0642279296875
a,50.1042279296875,50.144227929687496
monkey,50.1642279296875,50.6342279296875
honestly,50.654227929687494,51.1742279296875
I,51.9441279296875,52.124127929687496
I,52.124127929687496,52.2641279296875
had,52.2841279296875,52.414127929687496
I,52.424127929687494,52.5341279296875
met,52.554127929687496,52.7141279296875
monkeys,52.7141279296875,53.0041279296875
before,53.0041279296875,53.414127929687496
like,53.4341279296875,53.6141279296875
I,53.5741279296875,53.664127929687496
said,53.704127929687495,54.0041279296875
mean,54.0341279296875,54.1841279296875
all,54.2241279296875,54.374127929687496
over,54.414127929687496,54.564127929687494
the,54.5441279296875,54.6141279296875
world,54.6141279296875,54.9741279296875
And,55.5841279296875,55.734127929687496
uh,55.7541279296875,55.884127929687494
you,55.9041279296875,55.994127929687494
know,55.9741279296875,56.094127929687495
I,56.1141279296875,56.174127929687494
know,56.1941279296875,56.3341279296875
a,56.2941279296875,56.4041279296875
little,56.3641279296875,56.564127929687494
bit,56.5841279296875,56.664127929687496
about,56.7241279296875,56.994127929687494
monkey,57.0141279296875,57.374127929687496
monkey,57.4341279296875,57.674127929687494
etiquette,57.7141279296875,58.304127929687496
and,58.304127929687496,58.5741279296875
showing,58.6141279296875,58.874127929687496
your,58.914127929687496,59.024127929687495
teeth,59.2941279296875,59.664127929687496
not,59.664127929687496,59.804127929687496
to,59.804127929687496,59.9041279296875
show,59.924127929687494,60.134127929687494
your,60.134127929687494,60.2241279296875
teeth,60.2241279296875,60.494127929687494
not,60.494127929687494,60.6441279296875
to,60.6441279296875,60.734127929687496
stare,60.734127929687496,60.994127929687494
them,61.0141279296875,61.1141279296875
in,61.1141279296875,61.204127929687495
the,61.204127929687495,61.2641279296875
face,61.2841279296875,61.804127929687496
Yeah,62.2841279296875,62.564127929687494
I,62.5441279296875,62.6141279296875
this,62.7941279296875,62.9441279296875
is,62.984127929687496,63.0841279296875
this,63.1041279296875,63.2841279296875
is,63.2841279296875,63.3641279296875
one,63.4041279296875,63.524127929687495
of,63.5441279296875,63.634127929687494
the,63.6141279296875,63.674127929687494
secrets,63.674127929687494,64.2041279296875
actually,64.2441279296875,64.5541279296875
of,64.5741279296875,64.6541279296875
being,64.6741279296875,64.8341279296875
able,64.8341279296875,64.9941279296875
to,65.0341279296875,65.1341279296875
get,65.1941279296875,65.3841279296875
get,65.4841279296875,65.6641279296875
get,65.7641279296875,65.8841279296875
good,65.9641279296875,66.10412792968751
photography,66.1641279296875,66.8741279296875
is,66.8741279296875,67.0241279296875
making,67.0241279296875,67.3341279296875
the,67.3341279296875,67.4041279296875
animal,67.4241279296875,67.6641279296875
relaxed,67.7241279296875,68.2041279296875
There,68.9171279296875,69.0271279296875
was,69.0471279296875,69.1571279296875
one,69.2171279296875,69.4771279296875
shot,69.4971279296875,69.8771279296875
David,69.8771279296875,70.2071279296875
really,70.2871279296875,70.57712792968749
wanted,70.5971279296875,70.8771279296875
to,70.8771279296875,70.9971279296875
get,71.01712792968749,71.29712792968749
a,72.07712792968749,72.1471279296875
full,72.2471279296875,72.43712792968749
face,72.4771279296875,72.7271279296875
portrait,72.76712792968749,73.2871279296875
with,73.4471279296875,73.57712792968749
a,73.57712792968749,73.6271279296875
wide,73.6671279296875,73.9171279296875
angle,73.93712792968749,74.2371279296875
lens,74.2771279296875,74.7871279296875
But,75.3571279296875,75.4571279296875
every,75.4971279296875,75.6671279296875
time,75.7071279296875,75.9271279296875
he,75.9271279296875,76.0071279296875
got,76.0071279296875,76.1671279296875
close,76.1671279296875,76.3971279296875
to,76.4171279296875,76.46712792968749
taking,76.54712792968749,76.82712792968749
the,76.8671279296875,76.9171279296875
shot,76.9571279296875,77.40712792968749
the,77.51712792968749,77.6271279296875
monkeys,77.6471279296875,77.9771279296875
would,78.01712792968749,78.1171279296875
look,78.1371279296875,78.2871279296875
away,78.3071279296875,78.6671279296875
So,79.5971279296875,79.7071279296875
after,79.7271279296875,79.9171279296875
two,80.0371279296875,80.1771279296875
days,80.2371279296875,80.4971279296875
of,80.5371279296875,80.6271279296875
these,80.6271279296875,80.82712792968749
near,80.82712792968749,81.0271279296875
misses,81.0271279296875,81.6171279296875
he,81.7271279296875,81.82712792968749
changed,81.82712792968749,82.1471279296875
strategies,82.1471279296875,82.8571279296875
He,83.5071279296875,83.6271279296875
put,83.6271279296875,83.7371279296875
his,83.7571279296875,83.8571279296875
camera,83.8771279296875,84.15712792968749
on,84.15712792968749,84.2471279296875
