Task,Phenomenon,Field,Ling_form,Task_id
anaphor_gender_agreement,Anaphor Agreement,morphology,anaphor_agreement,1
anaphor_number_agreement,Anaphor Agreement,morphology,anaphor_agreement,2
causative,Argument Structure,syntax,argument_structure,5
drop_argument,Argument Structure,syntax,argument_structure,19
inchoative,Argument Structure,syntax,argument_structure,27
intransitive,Argument Structure,syntax,argument_structure,28
passive_1,Argument Structure,syntax,argument_structure,40
passive_2,Argument Structure,syntax,argument_structure,41
transitive,Argument Structure,syntax,argument_structure,58
animate_subject_passive,Argument Structure,syntax,s-selection,3
animate_subject_trans,Argument Structure,syntax,s-selection,4
principle_A_case_1,Binding,syntax_semantics,binding,42
principle_A_case_2,Binding,syntax_semantics,binding,43
principle_A_c_command,Binding,syntax_semantics,binding,44
principle_A_domain_1,Binding,syntax_semantics,binding,45
principle_A_domain_2,Binding,syntax_semantics,binding,46
principle_A_domain_3,Binding,syntax_semantics,binding,47
principle_A_reconstruction,Binding,syntax_semantics,binding,48
existential_there_object_raising,Control/Raising,syntax_semantics,control_raising,22
existential_there_subject_raising,Control/Raising,syntax_semantics,control_raising,25
expletive_it_object_raising,Control/Raising,syntax_semantics,control_raising,26
tough_vs_raising_1,Control/Raising,syntax_semantics,control_raising,56
tough_vs_raising_2,Control/Raising,syntax_semantics,control_raising,57
determiner_noun_agreement_1,Determiner Noun Agr.,morphology,determiner_noun_agreement,9
determiner_noun_agreement_2,Determiner Noun Agr.,morphology,determiner_noun_agreement,10
determiner_noun_agreement_irregular_1,Determiner Noun Agr.,morphology,determiner_noun_agreement,11
determiner_noun_agreement_irregular_2,Determiner Noun Agr.,morphology,determiner_noun_agreement,12
determiner_noun_agreement_with_adjective_1,Determiner Noun Agr.,morphology,determiner_noun_agreement,13
determiner_noun_agreement_with_adj_2,Determiner Noun Agr.,morphology,determiner_noun_agreement,14
determiner_noun_agreement_with_adj_irregular_1,Determiner Noun Agr.,morphology,determiner_noun_agreement,15
determiner_noun_agreement_with_adj_irregular_2,Determiner Noun Agr.,morphology,determiner_noun_agreement,16
ellipsis_n_bar_1,Ellipsis,syntax,ellipsis,20
ellipsis_n_bar_2,Ellipsis,syntax,ellipsis,21
wh_questions_object_gap,Filler Gap,syntax,filler_gap_dependency,60
wh_questions_subject_gap,Filler Gap,syntax,filler_gap_dependency,61
wh_questions_subject_gap_long_distance,Filler Gap,syntax,filler_gap_dependency,62
wh_vs_that_no_gap,Filler Gap,syntax,filler_gap_dependency,63
wh_vs_that_no_gap_long_distance,Filler Gap,syntax,filler_gap_dependency,64
wh_vs_that_with_gap,Filler Gap,syntax,filler_gap_dependency,65
wh_vs_that_with_gap_long_distance,Filler Gap,syntax,filler_gap_dependency,66
irregular_past_participle_adjectives,Irregular Forms,morphology,irregular_forms,29
irregular_past_participle_verbs,Irregular Forms,morphology,irregular_forms,30
adjunct_island,Island Effects,syntax,island_effects,0
complex_NP_island,Island Effects,syntax,island_effects,6
coordinate_structure_constraint_complex_left_branch,Island Effects,syntax,island_effects,7
coordinate_structure_constraint_object_extraction,Island Effects,syntax,island_effects,8
left_branch_island_echo_question,Island Effects,syntax,island_effects,33
left_branch_island_simple_question,Island Effects,syntax,island_effects,34
sentential_subject_island,Island Effects,syntax,island_effects,53
wh_island,Island Effects,syntax,island_effects,59
matrix_question_npi_licensor_present,NPI Licensing,syntax_semantics,npi_licensing,35
npi_present_1,NPI Licensing,syntax_semantics,npi_licensing,36
npi_present_2,NPI Licensing,syntax_semantics,npi_licensing,37
only_npi_licensor_present,NPI Licensing,syntax_semantics,npi_licensing,38
only_npi_scope,NPI Licensing,syntax_semantics,npi_licensing,39
sentential_negation_npi_licensor_present,NPI Licensing,syntax_semantics,npi_licensing,51
sentential_negation_npi_scope,NPI Licensing,syntax_semantics,npi_licensing,52
existential_there_quantifiers_1,Quantifiers,syntax_semantics,quantifiers,23
existential_there_quantifiers_2,Quantifiers,syntax_semantics,quantifiers,24
superlative_quantifiers_1,Quantifiers,syntax_semantics,quantifiers,54
superlative_quantifiers_2,Quantifiers,syntax_semantics,quantifiers,55
distractor_agreement_relational_noun,Subject-Verb Agr.,morphology,subject_verb_agreement,17
distractor_agreement_relative_clause,Subject-Verb Agr.,morphology,subject_verb_agreement,18
irregular_plural_subject_verb_agreement_1,Subject-Verb Agr.,morphology,subject_verb_agreement,31
irregular_plural_subject_verb_agreement_2,Subject-Verb Agr.,morphology,subject_verb_agreement,32
regular_plural_subject_verb_agreement_1,Subject-Verb Agr.,morphology,subject_verb_agreement,49
regular_plural_subject_verb_agreement_2,Subject-Verb Agr.,morphology,subject_verb_agreement,50
